CIDADE;LATITUDE;LONGITUDE;POPULAÇÃO
CARAGUATATUBA;-23,6925841;-45,4477151;134875
CARAGUATATUBA;-23,687258;-45,4481261;134875
CARAGUATATUBA;-23,7138769;-45,5400943;134875
CARAGUATATUBA;-23,7139114;-45,4385694;134875
CARAGUATATUBA;-23,7076342;-45,4490162;134875
CARAGUATATUBA;-23,6925841;-45,4477151;134875
CARAGUATATUBA;-23,6726344;-45,4480199;134875
CARAGUATATUBA;-23,6976373;-45,4507629;134875
CARAGUATATUBA;-23,5994641;-45,3518756;134875
CARAGUATATUBA;-23,59408578;-45,34334878;134875
CARAGUATATUBA;-23,7015151;-45,4859164;134875
CARAGUATATUBA;-23,7015151;-45,4859164;134875
CARAGUATATUBA;-23,7015151;-45,4859164;134875
CARAGUATATUBA;-23,6887076;-45,450509;134875
CARAGUATATUBA;-23,5938134;-45,3569118;134875
CARAGUATATUBA;-23,7313948;-45,5705515;134875
CARAGUATATUBA;-23,6925841;-45,4477151;134875
CARAGUATATUBA;-23,5797632;-45,3371797;134875
CARAGUATATUBA;-23,6256387;-45,4382888;134875
CARAGUATATUBA;-23,6200504;-45,4120869;134875
CARAGUATATUBA;-23,6200504;-45,4120869;134875
CARAGUATATUBA;-23,6230465;-45,3978504;134875
CARAGUATATUBA;-23,7079213;-45,4424505;134875
CARAGUATATUBA;-23,7313948;-45,5705515;134875
CARAGUATATUBA;-23,704985;-45,4412557;134875
CARAGUATATUBA;-23,6925841;-45,4477151;134875
CARAGUATATUBA;-23,7138769;-45,5400943;134875
CARAGUATATUBA;-23,7015151;-45,4859164;134875
CARAGUATATUBA;-23,71077796;-45,43664195;134875
CARAGUATATUBA;-23,5991051;-45,3555518;134875
CARAGUATATUBA;-23,6221811;-45,4039566;134875
CARAGUATATUBA;-23,6330922;-45,4357236;134875
CARAGUATATUBA;-23,63273417;-45,43241456;134875
CARAGUATATUBA;-23,63273417;-45,43241456;134875
CARAGUATATUBA;-23,6198022;-45,4123362;134875
CARAGUATATUBA;-23,6243464;-45,4300833;134875
CARAGUATATUBA;-23,6277906;-45,4362331;134875
CARAGUATATUBA;-23,60149678;-45,44891403;134875
CRUZEIRO;-22,57717158;-44,94542201;74961
CRUZEIRO;-22,57717158;-44,94542201;74961
CRUZEIRO;-22,5755112;-44,9731658;74961
CRUZEIRO;-22,57683061;-44,97253403;74961
CRUZEIRO;-22,58593937;-44,96278636;74961
CRUZEIRO;-22,56143774;-44,93802781;74961
CRUZEIRO;-22,56157026;-44,96454459;74961
CRUZEIRO;-22,58972557;-44,97427797;74961
CRUZEIRO;-22,58972447;-44,96905764;74961
CRUZEIRO;-22,5593712;-44,9404744;74961
CRUZEIRO;-22,5672151;-44,9452681;74961
CRUZEIRO;-22,5790403;-44,97409406;74961
CRUZEIRO;-22,5823485;-44,9794391;74961
CRUZEIRO;-22,56835169;-44,95357776;74961
CRUZEIRO;-22,57511602;-44,948499;74961
CRUZEIRO;-22,56873521;-44,93402938;74961
CRUZEIRO;-22,56226816;-44,94774917;74961
CRUZEIRO;-22,5620257;-44,9673869;74961
CRUZEIRO;-22,5602277;-44,9308398;74961
CRUZEIRO;-22,5830685;-44,9746379;74961
CRUZEIRO;-22,5764416;-44,94885192;74961
CRUZEIRO;-22,5754547;-44,95585741;74961
CRUZEIRO;-22,5885278;-44,9643899;74961
CRUZEIRO;-22,58881998;-44,97299775;74961
CRUZEIRO;-22,5764416;-44,94885192;74961
CRUZEIRO;-22,57532922;-44,9462778;74961
CRUZEIRO;-22,57532922;-44,9462778;74961
CRUZEIRO;-22,56643435;-44,96511588;74961
CRUZEIRO;-22,5760867;-44,9613621;74961
CRUZEIRO;-22,5622629;-44,9647983;74961
CRUZEIRO;-22,57180852;-44,97235371;74961
CRUZEIRO;-22,58972557;-44,97427797;74961
CRUZEIRO;-22,59926411;-44,98177689;74961
CRUZEIRO;-22,58881998;-44,97299775;74961
CRUZEIRO;-22,5762802;-44,94787249;74961
CRUZEIRO;-22,5598777;-44,9383475;74961
CRUZEIRO;-22,5772988;-44,97817025;74961
CRUZEIRO;-22,5899774;-44,9740045;74961
